id,brand,power_type,zones,type,description
1068338838,Magic Passion,От порта USB,"Плечи, Поясница, Руки, Спина, Тело, Шея","Антицеллюлитный, Вибрационный, Импульсный, Комбинированный, Лимфодренажный, Миостимулирующий","Миостимулятор для тела - это отличное решение, когда совсем нет времени на занятия в тренажерных залах. Массажер предназначен для укрепления мышц и массажа, особенно при дискомфорте шейного отдела и области спины . Во время его работы, вы не испытаете чувства неудобства и можете заниматься важными делами. Результат достигается за счёт электрических импульсов, под воздействием которых происходит сокращение мышц. С зарядкой от USB. Поможет снять напряжение практически с любой зоны, части тела. 8 рабочих режимов и с разным уровнем интенсивности 1-19. Воздействует на зону тела безопасным низкочастотным импульсом. Компактное устройство, доступное применение в любом месте. Можно использовать и во время рабочего дня.

Характеристики:
В форме бабочки
Сделан из ABS прочного пластика
Низкочастотное воздействие
Кол-во рабочих режимов: 8
Кол-во уровней интенсивности: 19
Таймер: можно настроить, на 15 мин
17,5х7 см - такой небольшой и компактный
Дисплей ЖК, управление - кнопки
Комплектация

1 х Массажер 1 х пластырь 1 х кабель для зарядки

Способ применения:

1. Закрепите массажер на маленьком отверстии пластыря.

2. Снимите прозрачную бумагу с патча.

3. Поместите массажер на участок тела, который необходимо массировать.

4. Включите массажер и выберите подходящий режим массажа и интенсивность массажа.

Прикрепите массажер в ту зону, которую хотите проработать.

Включите блок управления, нажимая на кнопку +

После включения массажера вы почувствуете как мышцы начинают попеременно сокращаться и расслабляться.

С помощью клавиши ""+"" вы можете увеличить интенсивность нагрузки, а с помощью кнопки ""-"" уменьшить. Кнопка ""М"" поможет поменять режим массажа.
В форме бабочки
Сделан из ABS прочного пластика
Низкочастотное воздействие
Кол-во рабочих режимов: 8
Кол-во уровней интенсивности: 19
Таймер: можно настроить, на 15 мин
17,5х7 см - такой небольшой и компактный
Дисплей ЖК, управление - кнопки
В форме бабочки
Сделан из ABS прочного пластика
Низкочастотное воздействие
Кол-во рабочих режимов: 8
Кол-во уровней интенсивности: 19
Таймер: можно настроить, на 15 мин
17,5х7 см - такой небольшой и компактный
Дисплей ЖК, управление - кнопки

Способ применения
1. Закрепите массажер на маленьком отверстии пластыря. 
2. Снимите прозрачную бумагу с патча. 
3. поместите массажер на участок тела, который необходимо массировать. 
4. включите массажер и выберите подходящий режим массажа и интенсивность массажа.
Способ применения
1. Закрепите массажер на маленьком отверстии пластыря. 
2. Снимите прозрачную бумагу с патча. 
3. поместите массажер на участок тела, который необходимо массировать. 
4. включите массажер и выберите подходящий режим массажа и интенсивность массажа."
1438957014,Миостимуляторы,Сменная батарея,Тело,"Импульсный, Миостимулирующий","Способ применения
Как использовать EMS тренажер? -Определитесь с проблемной зоной, которую вы бы хотели проработать. 
-Тщательно обезжирьте кожу того участка тела, на который собираетесь ставить пояс. 
-Прикрепите изделие и убедитесь, что оно плотно зафиксировано на коже. 
-Включите устройство и выберите уровень нагрузки. Вы должны не только чувствовать, но и видеть, как ваши мускулы интенсивно сокращаются под воздействием импульсов. -Рекомендованное время использования пояса — около 23-25 минут. 
-После окончания сеанса тренировки снимите пояс с поверхности тела и обработайте антисептическим раствором.
Способ применения
Как использовать EMS тренажер? -Определитесь с проблемной зоной, которую вы бы хотели проработать. 
-Тщательно обезжирьте кожу того участка тела, на который собираетесь ставить пояс. 
-Прикрепите изделие и убедитесь, что оно плотно зафиксировано на коже. 
-Включите устройство и выберите уровень нагрузки. Вы должны не только чувствовать, но и видеть, как ваши мускулы интенсивно сокращаются под воздействием импульсов. -Рекомендованное время использования пояса — около 23-25 минут. 
-После окончания сеанса тренировки снимите пояс с поверхности тела и обработайте антисептическим раствором."
904224384,Optmobilion,,"Плечи, Поясница, Руки, Тело, Шея, Ягодицы",Миостимулирующий,"Миостимулятор для тела - это отличное решение, когда совсем нет времени и финансов на занятия в тренажерных залах. Массажер предназначен для укрепления мышц и массажа, особенно при дискомфорте шейного отдела и области спины . Во время его работы, вы не испытаете чувства неудобства и можете заниматься важными делами. Результат достигается за счёт электрических импульсов, под воздействием которых происходит сокращение мышц. С зарядкой от USB. Поможет снять напряжение практически с любой зоны, части тела. 8 рабочих режимов и с разным уровнем интенсивности 1-19. Воздействует на зону тела безопасным низкочастотным импульсом. Компактное устройство, доступное применение в любом месте. Можно использовать и во время рабочего дня.

Характеристики:
В форме бабочки
Сделан и АБС прочного пластик и ПУ
Низкочастотное воздействие
Кол-во рабочих режимов: 8
Кол-во уровней интенсивности: 19
Таймер: можно настроить, на 15 мин
17,5х7 см - такой небольшой и компактный
Дисплей ЖК, управление - кнопки
В форме бабочки
Сделан и АБС прочного пластик и ПУ
Низкочастотное воздействие
Кол-во рабочих режимов: 8
Кол-во уровней интенсивности: 19
Таймер: можно настроить, на 15 мин
17,5х7 см - такой небольшой и компактный
Дисплей ЖК, управление - кнопки
В форме бабочки
Сделан и АБС прочного пластик и ПУ
Низкочастотное воздействие
Кол-во рабочих режимов: 8
Кол-во уровней интенсивности: 19
Таймер: можно настроить, на 15 мин
17,5х7 см - такой небольшой и компактный
Дисплей ЖК, управление - кнопки

Способ применения
1. Закрепите массажер на маленьком отверстии пластыря. 
2. Снимите прозрачную бумагу с патча. 
3. поместите массажер на участок тела, который необходимо массировать. 
4. включите массажер и выберите подходящий режим массажа и интенсивность массажа.
Способ применения
1. Закрепите массажер на маленьком отверстии пластыря. 
2. Снимите прозрачную бумагу с патча. 
3. поместите массажер на участок тела, который необходимо массировать. 
4. включите массажер и выберите подходящий режим массажа и интенсивность массажа."
1740752504,HYPERFIT,Встроенный аккумулятор,"Поясница, Спина, Тело","Вакуумный, Вибрационный, Миостимулирующий, Шиацу, Перкусионный, Разминание","Способ применения
Прикрепление контроллера и подготовка миостимулятора:
Прикрепите контроллер к внешней поверхности миостимулятора при помощи кнопок.
Распылите немного воды на внутреннюю поверхность миостимулятора для увлажнения токопроводящего слоя и удалите излишки воды сухой мягкой тканью.
Эксплуатация прибора: 
Наденьте пояс вокруг талии так, чтобы электроды плотно прилегали к животу, и затяните ленту-липучку . Используйте дополнительный удлинитель при необходимости. Включите контроллер и выберите нужную программу при помощи кнопки переключения программ, индикатор которой будет гореть на дисплее. Доступно 8 автоматических программ. Отрегулируйте уровень интенсивности тренировки, нажимая соответствующие кнопки для увеличения или уменьшения. Всего доступно 25 уровней интенсивности. Уровни 1-8 используются для разогрева мышц, 9-16 – для тренировки мышц, 17-25 – для быстрого сжигания жира и укрепления мышц брюшного пресса.
Уход и очистка: 
 Перед чисткой выключите контроллер и отсоедините его от пояса. Протрите дисплей слегка влажной мягкой тканью, затем вытрите насухо. Очищайте пояс после каждого использования.
Автоматическое отключение и ручное управление: 
 Через 20 минут устройство автоматически отключится. Для ручного отключения установите уровень интенсивности на 1 и снова нажмите кнопку на контроллере
Способ применения
Прикрепление контроллера и подготовка миостимулятора:
Прикрепите контроллер к внешней поверхности миостимулятора при помощи кнопок.
Распылите немного воды на внутреннюю поверхность миостимулятора для увлажнения токопроводящего слоя и удалите излишки воды сухой мягкой тканью.
Эксплуатация прибора: 
Наденьте пояс вокруг талии так, чтобы электроды плотно прилегали к животу, и затяните ленту-липучку . Используйте дополнительный удлинитель при необходимости. Включите контроллер и выберите нужную программу при помощи кнопки переключения программ, индикатор которой будет гореть на дисплее. Доступно 8 автоматических программ. Отрегулируйте уровень интенсивности тренировки, нажимая соответствующие кнопки для увеличения или уменьшения. Всего доступно 25 уровней интенсивности. Уровни 1-8 используются для разогрева мышц, 9-16 – для тренировки мышц, 17-25 – для быстрого сжигания жира и укрепления мышц брюшного пресса.
Уход и очистка: 
 Перед чисткой выключите контроллер и отсоедините его от пояса. Протрите дисплей слегка влажной мягкой тканью, затем вытрите насухо. Очищайте пояс после каждого использования.
Автоматическое отключение и ручное управление: 
 Через 20 минут устройство автоматически отключится. Для ручного отключения установите уровень интенсивности на 1 и снова нажмите кнопку на контроллере"
1738377495,YONGROW,От порта USB,Тело,Миостимулирующий,"Тренажер для стимуляции мышц тазового дна предназначен для женщин.Мягкая электростимуляция с помощью вагинального зонда помогает укрепить мышцы малого таза и увеличить их силу и выносливость.Регулярное использование тренажеров для мышц может улучшить чувствительность нервов.Это устройство также эффективно помогает в лечении недержания мочи у женщин.Встроенный индикатор времени - 5-10-15-20 минут.Есть три передачи и три режима на выбор, что позволяет выбрать наилучший режим и интенсивность для каждого пользователя.Частота импульсов и длительность сигнала настраиваются таким образом, чтобы стимулировать мышцы максимально эффективно, не вызывая дискомфорта.

Электрический тренажер Кегеля для мышц тазового дна использует электрическую стимуляцию для достижения желаемого эффекта.Асимметричные прямоугольные волны, создаваемые массажером, воздействуют на мышцы, заставляя их сокращаться и расслабляться.Это стимулирует рост и укрепление мышечной ткани, что особенно важно для восстановления и поддержания здоровья мышц тазового дна и брюшного пресса с помощью физических упражнений.

Установите женский ЭМГ-стимулятор для интимных мышц в соответствии с инструкцией.Выберите подходящий режим и установите таймер на требуемое время.Включите устройство для укрепления мышц малого таза и насладитесь сеансом интимной стимуляции мышц, чтобы контролировать ощущения и при необходимости регулировать интенсивность.

Тренажер-стимулятор мышц тазового дна для девочек был создан с учетом всех необходимых мер безопасности.Полимерные калиевые аккумуляторы обеспечивают длительную работу без необходимости частой подзарядки.Компактная и удобная конструкция позволяет легко выполнять упражнения и транспортировать его.

Вагинальные сокращения - это уникальное решение для женщин, стремящихся укрепить мышцы тазового дна, повысить их чувствительность и справиться с проблемами, связанными с дисфункцией.Сочетание передовых технологий, простоты использования и безопасности делает баттерфляй-тренажер для тела и живота, упражнений и стимуляции мышц незаменимым помощником для поддержания здоровья и качества жизни.

особенность：

1.Была увеличена длина белой части, которая может проникать глубже во влагалище и быть более удобной для людей, страдающих ожирением.

2.С обеих сторон имеется по 16 микроэлектрических контактов, которые удваивают укрепляющий вагинальный эффект

3.Интегрированный дизайн с сенсорным экраном, простое и удобное управление.

4.Белая часть выполнена из силикона, который более удобен для прикосновения к влагалищу, а передний зонд можно промыть водой.

Три режима: микроток + нагрев + красный свет

Микроток + синий свет

Микроток + выделение тепла + красный свет + синий свет

Спецификация:

Канал: одноканальный

Частота импульсов: в диапазоне 3 Гц ~ 50 Гц (допуск составляет менее 3%)

Выходной ток: 500 мА

Источник питания: USB

Входное напряжение: 22 В переменного тока

Частота: 50 Гц

Выходное напряжение: DC-5V

Входная мощность: 12 Вт

Условия эксплуатации: температура 0С~38с; влажность 8%-93%

Условия транспортировки и хранения: температура-20с~80с; влажность-8%~93%"
1708522373,Beurer,,Тело,Миостимулирующий,
1740740511,HYPERFIT,Встроенный аккумулятор,"Руки, Ноги, Тело, Поясница","Вакуумный, Шиацу, Вибрационный, Миостимулирующий, Перкусионный, Разминание","Способ применения
Прикрепление контроллера и подготовка миостимулятора:
Прикрепите контроллер к внешней поверхности миостимулятора при помощи кнопок.
Распылите немного воды на внутреннюю поверхность миостимулятора для увлажнения токопроводящего слоя и удалите излишки воды сухой мягкой тканью.
Эксплуатация прибора: 
Наденьте пояс вокруг талии так, чтобы электроды плотно прилегали к животу, и затяните ленту-липучку. Используйте дополнительный удлинитель при необходимости. Закрепите дополнительные миостимуляторы на руках/ногах . Включите контроллер и выберите нужную программу при помощи кнопки переключения программ, индикатор которой будет гореть на дисплее. Доступно 8 автоматических программ. Отрегулируйте уровень интенсивности тренировки, нажимая соответствующие кнопки для увеличения или уменьшения. Всего доступно 25 уровней интенсивности. Уровни 1-8 используются для разогрева мышц, 9-16 – для тренировки мышц, 17-25 – для быстрого сжигания жира и укрепления мышц брюшного пресса.
Уход и очистка: 
 Перед чисткой выключите контроллер и отсоедините его от пояса. Протрите дисплей слегка влажной мягкой тканью, затем вытрите насухо. Очищайте пояс после каждого использования.
Автоматическое отключение и ручное управление: 
 Через 20 минут устройство автоматически отключится. Для ручного отключения установите уровень интенсивности на 1 и снова нажмите кнопку на контроллере
Способ применения
Прикрепление контроллера и подготовка миостимулятора:
Прикрепите контроллер к внешней поверхности миостимулятора при помощи кнопок.
Распылите немного воды на внутреннюю поверхность миостимулятора для увлажнения токопроводящего слоя и удалите излишки воды сухой мягкой тканью.
Эксплуатация прибора: 
Наденьте пояс вокруг талии так, чтобы электроды плотно прилегали к животу, и затяните ленту-липучку. Используйте дополнительный удлинитель при необходимости. Закрепите дополнительные миостимуляторы на руках/ногах . Включите контроллер и выберите нужную программу при помощи кнопки переключения программ, индикатор которой будет гореть на дисплее. Доступно 8 автоматических программ. Отрегулируйте уровень интенсивности тренировки, нажимая соответствующие кнопки для увеличения или уменьшения. Всего доступно 25 уровней интенсивности. Уровни 1-8 используются для разогрева мышц, 9-16 – для тренировки мышц, 17-25 – для быстрого сжигания жира и укрепления мышц брюшного пресса.
Уход и очистка: 
 Перед чисткой выключите контроллер и отсоедините его от пояса. Протрите дисплей слегка влажной мягкой тканью, затем вытрите насухо. Очищайте пояс после каждого использования.
Автоматическое отключение и ручное управление: 
 Через 20 минут устройство автоматически отключится. Для ручного отключения установите уровень интенсивности на 1 и снова нажмите кнопку на контроллере"
1235275075,EMS,Сменная батарея,"Руки, Спина, Плечи, Шея, Ягодицы, Тело","Антицеллюлитный, Вибрационный, Импульсный, Лимфодренажный, Миостимулирующий, Оздоровительный","Способ применения
• Тщательно обезжирьте кожу того участка тела, на который собираетесь ставить тренажёр
• Прикрепите изделие и убедитесь, что оно плотно зафиксировано на коже
• Включите устройство и выберите уровень нагрузки. Вы должны не только чувствовать, но и видеть, как ваши мускулы интенсивно сокращаются под воздействием импульсов
• Рекомендованное время использования — около 23-25 минут
• Дальше вы можете заниматься своими делами - смотреть телевизор, готовить ужин, читать книги. В это время микростимуляторы будут воздействовать на мышцы и ""подтягивать"" их. 
• После окончания сеанса тренировки снимите пояс с поверхности тела и обработайте антисептическим раствором
Способ применения
• Тщательно обезжирьте кожу того участка тела, на который собираетесь ставить тренажёр
• Прикрепите изделие и убедитесь, что оно плотно зафиксировано на коже
• Включите устройство и выберите уровень нагрузки. Вы должны не только чувствовать, но и видеть, как ваши мускулы интенсивно сокращаются под воздействием импульсов
• Рекомендованное время использования — около 23-25 минут
• Дальше вы можете заниматься своими делами - смотреть телевизор, готовить ужин, читать книги. В это время микростимуляторы будут воздействовать на мышцы и ""подтягивать"" их. 
• После окончания сеанса тренировки снимите пояс с поверхности тела и обработайте антисептическим раствором"
1536972510,ANYSMART,Встроенный аккумулятор,"Плечи, Ноги, Спина, Руки, Тело, Шея",Миостимулирующий,"Одна из самых популярных физиотерапевтических процедур - электромиостимуляция. Ее прописывают не только для лечения, реабилитации после травм и операций, но и для ежедневной стимуляции работы орагнизма. Аппарат компактен, прост в управлении и очень эффективен. В его арсенале 9 режимов работы, которые используются не только при кардинальном или послеоперационном лечении, но и при бытовых проблемах.
9 режимов массажа для снятия мышечной усталости во всех направлениях.
Длительный срок службы.
Может работать 40 часов от одной зарядки.
Текст на большом ЖК-экране четкий, а функции кнопок понятны, пожилые люди смогут легко им воспользоваться.
Он эффективен для устранения болей разного характера, в том числе и головной. Помогает снять усталость после трудного рабочего дня и нормализовать сон. Расслабляет мышцы, снимает отеки и улучшает кровообращение.
Использовать аппарат для миостимуляции рекомендуется всей семьей. Для большего числа процедур не требуются предписания врача, достаточно контролировать работу аппарата. Особенно актуален миостимулятор для спорстменов, людей вынужденных работать в статических позах и с тяжестями.
Спектр применения электромиостимулятора действительно очень широк:
Снимает болевой синдром самого разного происхождения (усталость, отек, травмы, головная боль, спазмы и т.д.).
Лечение нетяжелых сердечно-сосудистых заболеваний.
Лечение заболеваний опорно-двигательного аппарата.
Лечение заболеваний пищеварительной системы.
Снимает усталость с мышц после тренировок, применяется для поддержания тонуса мышц.
Восстанавливает мышцы, суставы, сосуды после травм, операций.
Улучшает кровоток, снимает отеки, рагоняет гематомы.
Применяется при лечении неврозов, улучшает работу нервной системы, повышает умственную работоспособность.
Стимулирует работу клеток эпителлия, применяется для устранения целлюлита, поддерживает тонус кожных покровов и эластичность.
Применяется для лечения ожирения, удаляет излишки веса с проблемных зон.
Благодаря такому большому спектру полезного воздействия аппарат широко используется для домашней физиотерапии и очень популярен, но есть ряд противопоказаний:
Кардиостимулятор.
Беременность.
Наличие новообразований и опухолей с подозрением на онкологию.
Болезнь Паркинсона.
Эпилепсия.
Инфекционные заболевания.
Индивидуальная непереносимость электротока.
Принципы воздействия и режимы стимулирующей физиотерапии:

Нервно-мышечный стимулятор генерирует электрические импульсы разной силы и частоты, тем самы заставляя опреденные группы мышц сохранять свой тонус и улучшать работу. Электрические импульсы сравнимы с теми сигналами биотока, которые посылает в мышечную ткань мозг по каналам нервной системы, организм всопринимает их, как ""родные"", подчиняется импульсам и группа мышц выполняет заданную ими команду. Сокращения группы мышц в свою очередь влияют на кровоток, а также на другие органы, стимулируя их работу.

Характеристики:
9 режимов массажа для снятия мышечной усталости во всех направлениях.
Длительный срок службы.
Может работать 40 часов от одной зарядки.
Текст на большом ЖК-экране четкий, а функции кнопок понятны, пожилые люди смогут легко им воспользоваться.
Он эффективен для устранения болей разного характера, в том числе и головной. Помогает снять усталость после трудного рабочего дня и нормализовать сон. Расслабляет мышцы, снимает отеки и улучшает кровообращение.
Использовать аппарат для миостимуляции рекомендуется всей семьей. Для большего числа процедур не требуются предписания врача, достаточно контролировать работу аппарата. Особенно актуален миостимулятор для спорстменов, людей вынужденных работать в статических позах и с тяжестями.
9 режимов массажа для снятия мышечной усталости во всех направлениях.
Длительный срок службы.
Может работать 40 часов от одной зарядки.
Текст на большом ЖК-экране четкий, а функции кнопок понятны, пожилые люди смогут легко им воспользоваться.
Он эффективен для устранения болей разного характера, в том числе и головной. Помогает снять усталость после трудного рабочего дня и нормализовать сон. Расслабляет мышцы, снимает отеки и улучшает кровообращение.
Использовать аппарат для миостимуляции рекомендуется всей семьей. Для большего числа процедур не требуются предписания врача, достаточно контролировать работу аппарата. Особенно актуален миостимулятор для спорстменов, людей вынужденных работать в статических позах и с тяжестями.
Снимает болевой синдром самого разного происхождения (усталость, отек, травмы, головная боль, спазмы и т.д.).
Лечение нетяжелых сердечно-сосудистых заболеваний.
Лечение заболеваний опорно-двигательного аппарата.
Лечение заболеваний пищеварительной системы.
Снимает усталость с мышц после тренировок, применяется для поддержания тонуса мышц.
Восстанавливает мышцы, суставы, сосуды после травм, операций.
Улучшает кровоток, снимает отеки, рагоняет гематомы.
Применяется при лечении неврозов, улучшает работу нервной системы, повышает умственную работоспособность.
Стимулирует работу клеток эпителлия, применяется для устранения целлюлита, поддерживает тонус кожных покровов и эластичность.
Применяется для лечения ожирения, удаляет излишки веса с проблемных зон.
Снимает болевой синдром самого разного происхождения (усталость, отек, травмы, головная боль, спазмы и т.д.).
Лечение нетяжелых сердечно-сосудистых заболеваний.
Лечение заболеваний опорно-двигательного аппарата.
Лечение заболеваний пищеварительной системы.
Снимает усталость с мышц после тренировок, применяется для поддержания тонуса мышц.
Восстанавливает мышцы, суставы, сосуды после травм, операций.
Улучшает кровоток, снимает отеки, рагоняет гематомы.
Применяется при лечении неврозов, улучшает работу нервной системы, повышает умственную работоспособность.
Стимулирует работу клеток эпителлия, применяется для устранения целлюлита, поддерживает тонус кожных покровов и эластичность.
Применяется для лечения ожирения, удаляет излишки веса с проблемных зон.
Кардиостимулятор.
Беременность.
Наличие новообразований и опухолей с подозрением на онкологию.
Болезнь Паркинсона.
Эпилепсия.
Инфекционные заболевания.
Индивидуальная непереносимость электротока.
Кардиостимулятор.
Беременность.
Наличие новообразований и опухолей с подозрением на онкологию.
Болезнь Паркинсона.
Эпилепсия.
Инфекционные заболевания.
Индивидуальная непереносимость электротока."
1643790267,Миостимуляторы,"От сети 220В, Сменная батарея","Спина, Руки, Ноги, Ягодицы, Плечи","Миостимулирующий, Импульсный, Вибрационный, Акупунктурный","ОБРАТИТЕ ВНИМАНИЕ,что без прикрепления электродов к участкам тела аппарат через 3 секунды автоматически отключается во избежании перегрева. Массажер электрический для всего тела,стоп,рук,живот,шея используется для лечения, похудения,физиотерапии, а также как антицеллюлитный массажер!Электростимулятор для всего организма – идеальный электромасссажер для домашней физиотерапии, лечения, реабилитации, похудения и расслабления. Теперь не нужно тратиться на дорогостоящие процедуры в медицинских центрах и массажистов. Электро массажер EMS во время работы задействует в работу все группы мышц, пресса, поможет расслабиться после трудового дня вашим ногам импульсным массажем. С помощью электродов, сами сможете регулировать на какие мышцы воздействовать, на обрабатываемую зону накладываются специальные накожные электроды. Через них на нервные окончания подаются электрические импульсы, которые заставляют мышцы сокращаться. После процедуры активизируется рост мышечных волокон, нормализуется работа лимфатической системы и кровообращения, ускоряются обменные процессы в организме и многое другое. Мини массажер помогает восстановиться после перенесенных травм, операций и болезней, после спорта, фитнеса, вы сможете успешно применять его для лечения невралгии, заболеваний костно-мышечной ткани. Электростимулятор для всего тела можно использовать в четырёх терапевтических режимах:массаж, шиацу, вибрационное постукивание, а также иглоукалывание.В приборе объедено девять режимов этой процедуры, а возможность выбирать из десяти уровней интенсивности позволяет использовать электромассажер людьми с разной чувствительностью.Сеанс рассчитан на 15 минут, после чего прибор отключится. Благодаря использованию импульсного массажера,позволяет повысить эффективность укрепления мышц шеи, спины, головы,ног, а также улучшить кровообращение и общий тонус организма,подарок на новый год дедушке,бабушке.Он также помогает восстановить нервную систему и иммунитет, антицеллюлитный подойдет девушкам женщинам"
